city,street,house,postcode
Льгов,ул. Кольцевая,д. 70,691133
Вуктыл,ул. 60 лет СССР,д. 35,794518
Темрюк,ул. Томская,д. 97,686995
Троицко-Печорск,ул. Медицинская,д. 79,526328
Соликамск,ул. Шевченко,д. 87,067149
Кудымкар,ул. Фабричная,д. 33,855131
Кимры,ул. Некрасова,д. 84,691133
Нефедова,ул. Ленинградская,д. 21,658854
Владивосток,ул. Кедровая,д. 16,010594
Урус-Мартан,ул. Краснопартизанская,д. 56,395294
Кулунда,ул. Громова,д. 32,891825
Находка,ул. Вавилова,д. 34,912186
Карабулак,ул. Королева,д. 13,005117
Волоколамск,ул. Новая,д. 00,419197
Ухта,ул. Хвойная,д. 34,374065
Сосьва (Хант.),ул. Высоцкого,д. 73,142080
Кондопога,ул. 40 лет Победы,д. 55,156789
Зеленоград,ул. Лунная,д. 26,818355
Лазаревское,ул. Азина,д. 98,231605
Выборг,ул. Советской Армии,д. 76,799875
Каргасок,ул. Крупской,д. 22,377936
Магас,ул. Л.Толстого,д. 85,115387
Теберда,ул. Курчатова,д. 46,704921
Ноябрьск,ул. Ленская,д. 28,351918
Ейск,ул. Химиков,д. 75,986787
Моршанск,ул. Прохладная,д. 94,237112
Екатеринбург,ул. Фестивальная,д. 21,611458
Минусинск,ул. Таманская,д. 22,936055
Новый Уренгой,ул. Производственная,д. 95,684076
Ербогачен,ул. Советская,д. 38,878688
Йошкар-Ола,ул. О.Кошевого,д. 85,454824
Красногорск (Моск.),ул. Калинина,д. 18,014087
Ямбург,ул. Вахитова,д. 26,220634
Енисейск,ул. Большевистская,д. 64,210526
Орел,ул. Монтажников,д. 28,932332
Таганрог,ул. Октябрьская,д. 06,201952
Забайкальск,ул. Луначарского,д. 06,274314
Чита,ул. Фурманова,д. 50,537354
Люберцы,ул. Дачная,д. 10,708567
Тавда,ул. Серова,д. 61,961461
Обоянь,ул. Абрикосовая,д. 77,954607
Нефедова,ул. Серова,д. 61,961461
Киренск,ул. Северная,д. 84,394933
Можга,ул. Лазо,д. 97,185579
Ербогачен,ул. Урожайная,д. 65,688483
Калязин,ул. Красных Партизан,д. 17,419992
Архангельск,ул. Кольцова,д. 40,028754
Морозовск,ул. Пограничная,д. 96,828344
Чусовой,ул. Разина,д. 19,654935
Омск,ул. Привольная,д. 55,155448
Томпа,ул. Васильковая,д. 64,104677
Печенга,ул. Северная,д. 06,910564
Ачхой Мартан,ул. Гаражная,д. 23,224076
Волгоград,ул. Льва Толстого,д. 43,065028
Пятигорск,ул. Попова,д. 94,307858
Псебай,ул. Хвойная,д. 34,374065
Аргаяш,ул. Проезжая,д. 42,042442
Южно-Сахалинск,ул. Кольцова,д. 27,599450
Кировск (Мурм.),ул. Славянская,д. 12,316490
Углич,ул. Красноярская,д. 07,645123
Балтийск,ул. Новгородская,д. 71,309533
Александров,ул. Просвещения,д. 58,678130
Йошкар-Ола,ул. Новостройка,д. 76,405206
Златоуст,ул. Коллективная,д. 16,776313
Таганрог,ул. Енисейская,д. 16,206967
Кириши,ул. Серова,д. 26,892868
Шали,ул. Мирная,д. 88,952408
Юрьевец (Иван.),ул. Полярная,д. 27,046009
Соликамск,ул. Дружбы,д. 07,053293
Калязин,ул. Шмидта,д. 78,918783
Орехово-Зуево,ул. З.Космодемьянской,д. 49,554433
Лабинск,ул. Карла Либкнехта,д. 82,701278
Новгород Великий,ул. Волочаевская,д. 80,813955
Жиганск,ул. Крупской,д. 22,377936
Апшеронск,ул. Детская,д. 94,918266
Тайшет,ул. Механическая,д. 65,588210
Мыс Шмидта,ул. Ставропольская,д. 80,604260
Зарайск,ул. Кубанская,д. 40,399358
Мыс Шмидта,ул. Плеханова,д. 33,503679
Ивдель,ул. Горняцкая,д. 53,956042
Шелагонцы,ул. Водников,д. 81,598954
Катав-Ивановск,ул. Розы Люксембург,д. 74,965473
Палана,ул. Карла Либкнехта,д. 73,436681
Хасавюрт,ул. Вокзальная,д. 81,995357
Туруханск,ул. Камская,д. 08,471130
Юрьев-Польский,ул. Сельская,д. 29,579029
Каргополь,ул. Сурикова,д. 55,938859
Прохладный,ул. Нефтяников,д. 54,044287
Тотьма,ул. Шевченко,д. 48,029799
Сызрань,ул. Шмидта,д. 34,612268
Шенкурск,ул. Мостовая,д. 15,675126
Усолье Сибирское,ул. Загородная,д. 76,095423
Пышма,ул. Халтурина,д. 47,921131
Брянск,ул. Ленская,д. 28,351918
Пермь,ул. Таманская,д. 22,207860
Токма,ул. Металлистов,д. 61,751269
Кузнецк,ул. Стахановская,д. 67,113116
Избербаш,ул. Спартака,д. 86,693120
Усть-Кут,ул. Рябиновая,д. 17,420164
Касимов,ул. Депутатская,д. 71,818475
Урай,ул. Первомайская,д. 55,715992
Ижевск,ул. Приморская,д. 26,745173
Новокузнецк,ул. Волкова,д. 52,155763
Шахты,ул. Славянская,д. 12,316490
Воркута,ул. Никитина,д. 51,689598
Белгород,ул. Розы Люксембург,д. 74,965473
Рыльск,ул. Ленина,д. 04,361861
Канск,ул. Промышленная,д. 04,764229
Ковров,ул. Владимирская,д. 29,571418
Чита,ул. Жукова,д. 83,769907
Уренгой,ул. Водников,д. 05,651050
Россошь,ул. Вахитова,д. 63,517691
Наро-Фоминск,ул. Проточная,д. 95,466095
Мураши,ул. Хуторская,д. 45,929604
Тюмень,ул. Рязанская,д. 96,336288
Юрьевец (Иван.),ул. Интернациональная,д. 26,373025
Томск,ул. Городская,д. 48,452134
Карабулак,ул. Прудовая,д. 48,774298
Кырен,ул. Краснопартизанская,д. 79,360786
Гагарин,ул. Химиков,д. 01,628605
Находка,ул. Шоссейная,д. 81,660996
Чулым,ул. Прибрежная,д. 49,048952
Череповец,ул. Энтузиастов,д. 02,083295
Листвянка (Иркут.),ул. Ленина,д. 04,361861
Беломорск,ул. Березовая,д. 95,319561
Нязепетровск,ул. Комарова,д. 06,035736
Ставрополь,ул. Республиканская,д. 38,544744
Вязьма,ул. Большевистская,д. 72,567594
Тверь,ул. Выгонная,д. 35,913591
Южноуральск,ул. Белинского,д. 99,780090
Санкт-Петербург,ул. Тукая,д. 15,433858
Кириши,ул. Социалистическая,д. 76,008838
Бодайбо,ул. Дарвина,д. 22,773961
Углич,ул. Серова,д. 40,078694
Куртамыш,ул. Громова,д. 13,217841
Губкинский,ул. Высотная,д. 48,100553
Южно-Курильск,ул. Кузнецова,д. 01,627815
Медногорск,ул. Красина,д. 77,013214
Сусуман,ул. Фадеева,д. 66,803641
Чермоз,ул. Пушкина,д. 76,484743
Снежногорск (Мурм.),ул. Семашко,д. 07,099478
Краснокамск,ул. Дорожников,д. 91,251684
Хатанга,ул. Колхозная,д. 21,299952
Елец,ул. Цветочная,д. 48,346835
Алдан,ул. Прохладная,д. 74,763931
Кош-Агач,ул. Энтузиастов,д. 45,702048
Красновишерск,ул. Заводская,д. 16,941290
Южноуральск,ул. Металлистов,д. 58,484929
Сосногорск,ул. Фадеева,д. 82,702247
Печенга,ул. Энтузиастов,д. 47,834926
Оса,ул. Надежды,д. 82,330910
Дубна,ул. Суворова,д. 07,480482
Солнечногорск,ул. Заовражная,д. 16,932290
Мезень,ул. Надежды,д. 92,990012
Верхнее Пенжино,ул. Беляева,д. 91,939719
Кижи,ул. Коммунистическая,д. 11,082430
Орел,ул. Советская,д. 38,878688
Верхоянск,ул. Просвещения,д. 42,925160
Смоленск,ул. Белинского,д. 99,780090
Боровск,ул. Мира,д. 52,696466
Каспийск,ул. Прохладная,д. 94,237112
Верхнее Пенжино,ул. Водников,д. 05,651050
Верещагино (Перм.),ул. Лазурная,д. 51,075427
Шадринск,ул. Поперечная,д. 77,864885
Люберцы,ул. Станиславского,д. 03,732504
Ханты-Мансийск,ул. Фестивальная,д. 29,718378
Барнаул,ул. Подлесная,д. 30,647351
Меренга,ул. Депутатская,д. 53,592545
Тихвин,ул. Рязанская,д. 96,336288
Усть-Джегута,ул. Есенина,д. 32,227738
Переславль-Залесский,ул. Леонова,д. 73,232413
Гдов,ул. Урицкого,д. 36,592729
Сочи,ул. Демьяна Бедного,д. 91,776016
Ербогачен,ул. Короткая,д. 71,756328
Воронеж,ул. Пригородная,д. 08,711809
Печенга,ул. Толстого,д. 43,083877
Ачинск,ул. Карла Маркса,д. 48,982831
Санкт-Петербург,ул. Цветочная,д. 51,945140
Кулу,ул. Белинского,д. 04,884541
Раменское,ул. Глинки,д. 32,111623
Сеймчан,ул. Луговая,д. 39,772210
Юрьевец (Иван.),ул. Индустриальная,д. 33,209386
Курильск,ул. Подстанция,д. 90,757134
Лагань,ул. Коммунальная,д. 15,188401
Кострома,ул. Пугачева,д. 73,382825
Ижевск,ул. 40 лет Победы,д. 55,156789
Нарым,ул. Металлургов,д. 16,366258
Когалым,ул. Леваневского,д. 54,121789
Пинега,ул. Трудовая,д. 86,934876
Яр-Сале,ул. Транспортная,д. 33,288065
Саранск,ул. Сахалинская,д. 31,460895
Карпинск,ул. Таманская,д. 22,936055
Новомичуринск,ул. 60 лет СССР,д. 35,794518
Сарапул,ул. Железнодорожная,д. 90,098974
Шерегеш,ул. Ключевая,д. 49,174880
Батайск,ул. Комарова,д. 06,035736
Уварово,ул. Химиков,д. 65,866356
Поронайск,ул. Сосновая,д. 78,385038
Калачинск,ул. Коммунальная,д. 15,188401
Ноябрьск,ул. Куйбышева,д. 91,670296
Мурманск,ул. Энтузиастов,д. 15,829838
Шали,ул. Матросова,д. 24,472367
Валдай,ул. Победы,д. 56,956684
Моздок,ул. Шевченко,д. 87,067149
Дмитров,ул. Новгородская,д. 39,871354
Владикавказ,ул. Проточная,д. 95,466095
Ардон,ул. О.Кошевого,д. 66,339718
Серов,ул. Бажова,д. 60,238769
Каргополь,ул. Кутузова,д. 82,630234
Аргаяш,ул. Советской Армии,д. 76,799875
Александров Гай,ул. Транспортная,д. 20,493795
Орел,ул. Енисейская,д. 16,206967
Соликамск,ул. Лунная,д. 35,151099
Североуральск,ул. Коммунальная,д. 26,435805
Надым,ул. Флотская,д. 97,360874
Дербент,ул. Трактовая,д. 59,064812
Палана,ул. Луначарского,д. 51,838684
Комсомольск-на-Амуре,ул. Декабристов,д. 36,001914
Сибай,ул. Химиков,д. 75,986787
Ставрополь,ул. Балтийская,д. 25,815573
Губкинский,ул. Пригородная,д. 08,711809
Барнаул,ул. Тукая,д. 58,538966
Соль-Илецк,ул. Смирнова,д. 24,536015
Кажим,ул. Авиационная,д. 33,988129
Домбай,ул. Гайдара,д. 48,410869
Стрежевой,ул. Лунная,д. 35,968558
Озеры,ул. Ореховая,д. 67,288658
Верхний Баскунчак,ул. Серафимовича,д. 00,374440
Северодвинск,ул. Коммунистическая,д. 95,578008
Анадырь,ул. К.Маркса,д. 63,186596
Сусуман,ул. Тукая,д. 15,433858
Ижевск,ул. Заовражная,д. 16,932290
Тихвин,ул. Сенная,д. 09,423138
Орехово-Зуево,ул. Придорожная,д. 93,198047
Тимашевск,ул. Гончарова,д. 23,427137
Ковров,ул. Прохладная,д. 61,222928
Ряжск,ул. Песчаная,д. 22,402703
Таштагол,ул. Подстанция,д. 55,981749
Нижний Тагил,ул. Гражданская,д. 19,344217
Балашиха,ул. Северная,д. 06,910564
Тымовское,ул. Высоковольтная,д. 94,864298
Усть-Баргузин,ул. Озерная,д. 76,274241
Тымовское,ул. Коммунистическая,д. 64,509636
Астрахань,ул. Ягодная,д. 73,794833
Туапсе,ул. Иркутская,д. 41,532214
Стрежевой,ул. Энтузиастов,д. 48,889584
Тотьма,ул. Стахановская,д. 67,113116
Чулым,ул. Береговая,д. 67,137589
Тулпан,ул. Тихая,д. 29,555702
Салехард,ул. Новосельская,д. 07,517469
Тверь,ул. Дружба,д. 64,890068
Кош-Агач,ул. Пограничная,д. 62,889371
Валаам,ул. Новосельская,д. 07,517469
Вытегра,ул. Загородная,д. 34,475021
Курильск,ул. Интернациональная,д. 74,979852
Урюпинск,ул. Новая,д. 00,419197
Уварово,ул. Балтийская,д. 84,266383
Тымовское,ул. Леваневского,д. 56,848119
Снежинск,ул. Высокая,д. 43,422224
Апшеронск,ул. Громова,д. 32,891825
Чермоз,ул. Чехова,д. 73,174019
Черемхово,ул. Прудовая,д. 48,774298
Балтийск,ул. Беляева,д. 67,781761
Назрань,ул. Вокзальная,д. 81,995357
Кашхатау,ул. Геологов,д. 91,068608
Сухиничи,ул. Чехова,д. 73,174019
Тверь,ул. Санаторная,д. 81,994871
Орск,ул. Николаева,д. 98,110922
Курумкан,ул. Высоцкого,д. 73,142080
Палана,ул. Хуторская,д. 45,929604
Уэлен,ул. Подгорная,д. 38,438145
Североуральск,ул. Мира,д. 52,696466
Алексин,ул. Подстанция,д. 31,453170
Меренга,ул. Крестьянская,д. 22,569616
Усолье Сибирское,ул. Транспортная,д. 20,493795
Курумкан,ул. Путевая,д. 58,334172
Ногинск (Моск.),ул. Родниковая,д. 54,307177
Сибай,ул. Ватутина,д. 34,926944
Астрахань,ул. Тенистая,д. 29,601941
Красногорск (Моск.),ул. Интернациональная,д. 54,641578
Великие Луки,ул. Кольцова,д. 65,536538
Тверь,ул. Беляева,д. 61,242858
Белый Яр (Томск.),ул. 8-е Марта,д. 60,542074
Елец,ул. Ивановская,д. 50,667593
Змеиногорск,ул. Путейская,д. 74,563336
Таштагол,ул. Ручейная,д. 70,789500
Кулу,ул. Островского,д. 36,746735
Троицк (Моск.),ул. Больничная,д. 01,082174
Мытищи,ул. Кубанская,д. 40,399358
Сеймчан,ул. Авиационная,д. 33,988129
Середниково,ул. Боровая,д. 99,386085
Снежинск,ул. Луговая,д. 66,613164
Бузулук,ул. Ильича,д. 21,664784
Россошь,ул. Горняцкая,д. 49,909640
Качканар,ул. Базарная,д. 47,093866
Тихорецк,ул. Республиканская,д. 38,544744
Уварово,ул. Володарского,д. 46,088502
Светлогорск (Калин.),ул. Кольцевая,д. 70,691133
Ершов,ул. Микрорайон,д. 82,633055
Ведено,ул. Маяковского,д. 92,445242
Торжок,ул. Железнодорожная,д. 36,522441
Шахты,ул. Химиков,д. 75,986787
Енисейск,ул. Р.Люксембург,д. 37,661924
Буденновск,ул. Громова,д. 13,217841
Ведено,ул. Вавилова,д. 32,915691
Саров (Морд.),ул. Ручейная,д. 10,430962
Ивдель,ул. Плеханова,д. 33,503679
Ульяновск,ул. Белинского,д. 99,780090
Сусуман,ул. Леонова,д. 74,810999
Оленек,ул. Песочная,д. 54,949783
Бузулук,ул. Папанина,д. 58,392720
Мончегорск,ул. Владимирская,д. 29,571418
Троицко-Печорск,ул. Ветеранов,д. 60,134439
Люберцы,ул. Сибирская,д. 70,985661
Йошкар-Ола,ул. Высоцкого,д. 86,373584
Сарапул,ул. Фадеева,д. 66,803641
Нарьян-Мар,ул. Ленинградская,д. 88,544748
Советский,ул. Ставропольская,д. 64,386433
Гдов,ул. Свердлова,д. 04,694009
Учалы,ул. Чайкиной,д. 15,091259
Новомосковск,ул. Щорса,д. 89,844197
Черняховск,ул. Иркутская,д. 41,532214
Эльтон,ул. Парижской Коммуны,д. 85,399954
Балтийск,ул. Краснопартизанская,д. 41,942390
Петропавловск-Камчатский,ул. Прохладная,д. 61,222928
Магадан,ул. Пожарского,д. 43,326961
Смоленск,ул. Каштановая,д. 76,782363
Ступино,ул. Полярная,д. 27,046009
Курильск,ул. Краснопартизанская,д. 01,177093
Кондопога,ул. Смирнова,д. 98,342829
Шарья,ул. Кленовая,д. 04,303175
Салехард,ул. Курчатова,д. 98,750969
Смоленск,ул. Фадеева,д. 82,702247
Минусинск,ул. Республиканская,д. 38,544744
Змеиногорск,ул. Подстанция,д. 55,758340
Сосногорск,ул. Грибоедова,д. 05,639174
Качканар,ул. Дарвина,д. 30,798195
Смоленск,ул. Тюленина,д. 34,442616
Моздок,ул. Сельская,д. 94,463544
Зеленоград,ул. Кузнечная,д. 35,792934
Мокшан,ул. Болотная,д. 23,825536
Углегорск,ул. Космодемьянской,д. 45,052165
Горно-Алтайск,ул. Медицинская,д. 79,526328
Кудымкар,ул. Крупской,д. 22,377936
Льгов,ул. Энгельса,д. 69,693451
Сыктывкар,ул. Социалистическая,д. 76,008838
Боровск,ул. Азина,д. 50,731983
Ступино,ул. Семашко,д. 78,998500
Миллерово,ул. Балтийская,д. 87,053584
Гусь-Хрустальный,ул. Колхозная,д. 26,138186
Видное,ул. Ленинградская,д. 21,658854
Верхний Баскунчак,ул. Иркутская,д. 41,532214
Кизилюрт,ул. Верхняя,д. 33,732399
Лабинск,ул. Колхозная,д. 21,299952
Рязань,ул. Станционная,д. 54,953403
Саров (Морд.),ул. Молодежная,д. 78,725876
Александров,ул. Коммунистическая,д. 64,509636
Катав-Ивановск,ул. Дарвина,д. 30,798195
Тосно,ул. 50 лет Октября,д. 52,407715
Кировск (Мурм.),ул. Целинная,д. 82,858647
Юрьев-Польский,ул. Щербакова,д. 79,548794
Невинномысск,ул. Олимпийская,д. 53,359708
Октябрьское (Хант.),ул. Жуковского,д. 55,227076
Череповец,ул. Славянская,д. 12,316490
Эльбрус,ул. Белинского,д. 99,780090
Гагарин,ул. Ольховая,д. 81,012001
Ачхой Мартан,ул. Ивановская,д. 50,667593
Салават,ул. Высоковольтная,д. 42,051595
Токма,ул. Красных Партизан,д. 20,193550
Усмань,ул. Стахановская,д. 70,785282
Ишим,ул. Пархоменко,д. 91,960003
Южноуральск,ул. Санаторная,д. 81,994871
Каргасок,ул. Астраханская,д. 23,147562
Архыз,ул. Высотная,д. 59,970473
Сунтар,ул. Новостройка,д. 76,405206
Буденновск,ул. Новая,д. 00,419197
Хоста,ул. Куйбышева,д. 91,670296
Орехово-Зуево,ул. Геологическая,д. 58,377531
Липецк,ул. Стадионная,д. 10,603340
Завьялиха,ул. Есенина,д. 45,354794
Владикавказ,ул. Тукая,д. 58,538966
Руза,ул. Беляева,д. 61,242858
Ярославль,ул. Путевая,д. 58,334172
Сочи,ул. Ярославская,д. 60,604989
Шерегеш,ул. Крымская,д. 37,152164
Южно-Сахалинск,ул. Новгородская,д. 71,309533
Невинномысск,ул. Полевая,д. 14,343685
Карабулак,ул. Загородная,д. 16,395948
Избербаш,ул. Волочаевская,д. 85,045062
Усть-Джегута,ул. Орловская,д. 00,596503
Луга,ул. Ленинградская,д. 88,544748
Снежинск,ул. Краснознаменная,д. 67,559405
Усть-Катав,ул. Песочная,д. 83,552137
Нижневартовск,ул. Заозерная,д. 63,834611
Серов,ул. Энтузиастов,д. 15,829838
Юрьев-Польский,ул. Радужная,д. 98,421083
Краснокамск,ул. Водников,д. 81,598954
Ершов,ул. Подлесная,д. 30,647351
Боровск,ул. Мельничная,д. 19,970311
Белореченск,ул. Тамбовская,д. 24,794974
Ижевск,ул. Глинки,д. 08,528379
Ростов,ул. Прудная,д. 06,646161
Сыктывкар,ул. Вавилова,д. 32,915691
Миллерово,ул. Новоселов,д. 64,861189
Переславль-Залесский,ул. Лунная,д. 35,151099
